Date,Price
04-01-2018,10739.35
05-01-2018,10736.15
06-01-2018,10714.30
07-01-2018,11356.50
08-01-2018,11680.50
09-01-2018,10930.45
10-01-2018,10386.60
11-01-2018,10876.75
12-01-2018,10862.55
01-01-2019,10830.95
02-01-2019,10792.50
03-01-2019,11623.90
04-01-2019,11748.15
05-01-2019,11922.80
06-01-2019,11788.85
07-01-2019,11118.00
08-01-2019,11023.25
09-01-2019,11474.45
10-01-2019,11877.45
11-01-2019,12056.05
12-01-2019,12168.45
01-01-2020,11962.10
02-01-2020,11201.75
03-01-2020,8597.75
04-01-2020,9859.90
05-01-2020,9580.30
06-01-2020,10302.10
07-01-2020,11073.45
08-01-2020,11387.50
09-01-2020,11247.55
10-01-2020,11642.40
11-01-2020,12968.95
12-01-2020,13981.75
01-01-2021,13634.60
02-01-2021,14529.15
03-01-2021,14690.70
04-01-2021,14631.10
05-01-2021,15582.80
06-01-2021,15721.50
07-01-2021,15763.05
08-01-2021,17132.20
09-01-2021,17618.15
10-01-2021,17671.65
11-01-2021,16983.20
12-01-2021,17354.05
01-01-2022,17339.85
02-01-2022,16793.90
03-01-2022,17464.75
04-01-2022,17102.55
05-01-2022,16584.55
06-01-2022,15780.25
07-01-2022,17158.25
08-01-2022,17759.30
09-01-2022,17094.35
10-01-2022,18012.20
11-01-2022,18758.35
12-01-2022,17806.80
